title,authors,arxiv_id
Blind Super-Resolution Kernel Estimation using an Internal-GAN,Sefi Bell-Kligler;Assaf Shocher;Michal Irani,
Guided Similarity Separation for Image Retrieval,Chundi Liu;Guangwei Yu;Maksims Volkovs;Cheng Chang;Himanshu Rai;Junwei Ma;Satya Krishna Gorti,
"Average Individual Fairness: Algorithms, Generalization and Experiments",Saeed Sharifi-Malvajerdi;Michael Kearns;Aaron Roth,http://arxiv.org/abs/1905.10607v1
Greedy InfoMax for Biologically Plausible Self-Supervised Representation Learning,Sindy Löwe;Peter O'Connor;Bastiaan Veeling,
Dynamics of stochastic gradient descent for two-layer neural networks in the teacher-student setup,Sebastian Goldt;Madhu Advani;Andrew Saxe;Florent Krzakala;Lenka Zdeborová,
Parameter elimination in particle Gibbs sampling,Anna Wigren;Riccardo Sven Risuleo;Lawrence Murray;Fredrik Lindsten,
Nonparametric Density Estimation & Convergence Rates for GANs under Besov IPM Losses,Ananya Uppal;Shashank Singh;Barnabas Poczos,
On Robustness of Principal Component Regression,Anish Agarwal;Devavrat Shah;Dennis Shen;Dogyoon Song,
Scalable Bayesian inference of dendritic voltage via spatiotemporal recurrent state space models,Ruoxi Sun; Ian  Kinsella;Scott Linderman;Liam Paninski,
Optimizing Generalized Rate Metrics through Three-player Games,Harikrishna Narasimhan;Andrew Cotter;Maya Gupta,
Causal Misidentification in Imitation Learning,Pim de Haan;Dinesh Jayaraman;Sergey Levine,
Generative Modeling by Estimating Gradients of the Data Distribution,Yang Song;Stefano Ermon,http://arxiv.org/abs/1907.05600v1
Exponentially convergent stochastic k-PCA without variance reduction,Cheng Tang,http://arxiv.org/abs/1904.01750v1
A neurally plausible model learns successor representations in partially observable environments,Eszter Vértes;Maneesh Sahani,
Faster width-dependent algorithm for mixed packing and covering LPs,Digvijay Boob;Saurabh Sawlani;Di Wang,
ViLBERT: Pretraining Task-Agnostic Visiolinguistic Representations for Vision-and-Language Tasks,Jiasen Lu;Dhruv Batra;Devi Parikh;Stefan Lee,
Stochastic Shared Embeddings: Data-driven Regularization of Embedding Layers,Liwei Wu;Shuqing Li;Cho-Jui Hsieh;James Sharpnack,
Unsupervised learning of object structure and dynamics from videos,Matthias Minderer;Chen Sun;Ruben Villegas;Forrester Cole;Kevin Murphy;Honglak Lee,http://arxiv.org/abs/1906.07889v1
Unsupervised Scale-consistent Depth and Ego-motion Learning from Monocular Video,Jiawang Bian;Zhichao Li;Naiyan Wang;Huangying Zhan;Chunhua Shen;Ming-Ming Cheng;Ian Reid,
FreeAnchor: Learning to Match Anchors for Visual Object Detection,Xiaosong Zhang;Fang Wan;Chang Liu;Rongrong Ji;Qixiang Ye,http://arxiv.org/abs/1909.02466v1
Social-BiGAT: Multimodal Trajectory Forecasting using Bicycle-GAN and Graph Attention Networks,Vineet Kosaraju;Amir Sadeghian;Roberto Martín-Martín;Ian Reid;Hamid Rezatofighi;Silvio Savarese,
Multi-Resolution Weak Supervision for Sequential Data,Paroma Varma;Frederic Sala;Shiori Sagawa;Jason Fries;Daniel Fu;Saelig Khattar;Ashwini Ramamoorthy;Ke Xiao;Kayvon  Fatahalian;James Priest;Christopher Ré,
First Exit Time Analysis of Stochastic Gradient Descent Under Heavy-Tailed Gradient Noise,Thanh Huy Nguyen;Umut Simsekli;Mert Gurbuzbalaban;Gaël RICHARD,
Batched Multi-armed Bandits Problem,Zijun Gao;Yanjun Han;Zhimei Ren;Zhengqing Zhou,http://arxiv.org/abs/1904.01763v1
Noise-tolerant fair classification,Alex Lamy;Ziyuan Zhong;Aditya Menon;Nakul Verma,
Generalization in Generative Adversarial Networks: A Novel Perspective from Privacy Protection,Bingzhe Wu;Shiwan Zhao;Haoyang Xu;Chaochao Chen;Li Wang;Xiaolu Zhang;Guangyu Sun;Jun Zhou,
Scene Representation Networks: Continuous 3D-Structure-Aware Neural Scene Representations,Vincent Sitzmann;Michael Zollhoefer;Gordon Wetzstein,
Joint-task Self-supervised Learning for Temporal Correspondence,Xueting Li;Sifei Liu;Shalini De Mello;Xiaolong Wang;Jan Kautz;Ming-Hsuan Yang,
Experience Replay for Continual Learning,David Rolnick;Arun Ahuja;Jonathan Schwarz;Timothy Lillicrap;Gregory Wayne,
Chasing Ghosts: Instruction Following as Bayesian State Tracking,Peter Anderson;Ayush Shrivastava;Devi Parikh;Dhruv Batra;Stefan Lee,http://arxiv.org/abs/1907.02022v1
Block Coordinate Regularization by Denoising,Yu Sun;Jiaming Liu;Ulugbek Kamilov,
Thresholding Bandit with Optimal Aggregate Regret,Chao Tao;Saúl A Blanco;Jian Peng;Yuan Zhou,
Learning Erdos-Renyi Random Graphs via Edge Detecting Queries,Zihan Li;Matthias Fresacher;Jonathan Scarlett,
HYPE: A Benchmark for Human eYe Perceptual Evaluation of Generative Models,Sharon Zhou;Mitchell Gordon;Ranjay Krishna;Austin Narcomey;Li Fei-Fei;Michael Bernstein,
Category Anchor-Guided Unsupervised Domain Adaptation for Semantic Segmentation,Qiming ZHANG;Jing Zhang;Wei Liu;Dacheng Tao,
Zero-Shot Semantic Segmentation,Maxime Bucher;Tuan-Hung VU;Matthieu Cord;Patrick Pérez,
Metric Learning for Adversarial Robustness,Chengzhi Mao;Ziyuan Zhong;Junfeng Yang;Carl Vondrick;Baishakhi Ray,
